name,value,units,constant_value,initial_value
k_cell_clear,0.03,1/day,True,
geometry_dead_clearance_per_day,0.05,1/day,True,
geometry_dead_swelling_factor,1.2,dimensionless,True,
geometry_tcell_volume_factor,1.0,dimensionless,True,
geom_tau_days,15.0,day,True,
geom_kappa_occ_per_day,0.0,1/day,True,
geom_w_live,1.0,dimensionless,True,
geom_w_tcell,1.0,dimensionless,True,
geom_w_dead,1.0,dimensionless,True,
geom_w_pk,0.01,dimensionless,True,
geom_w_occ,0.02,dimensionless,True,
geom_min_volume_l,0.0104755787793697,liter,True,
geom_growth_per_day,0.0001162953015921,1/day,True,
geom_kill_per_cell_per_day,2.4790728335429256e-10,1/(cell*day),True,
geom_volume_cap_l,0.99505,liter,True,
cell,1.0,cell,True,
day,1.0,day,True,
vol_cell,2527.31128244685,micrometer^3/cell,True,
vol_Tcell,176.0,micrometer^3/cell,True,
V_Tmin,0.001,microliter,True,
C_total,5694494668.19038,cell,False,
T_total,1554455.48869576,cell,False,
T_total_LN,6073346777.76107,cell,False,
R_Tcell,51602.0436235056,cell/day,False,
Tregs_,446369.004135466,cell,False,
H_APC,0.0027083406020128,dimensionless,False,
H_mAPC,0.0028923891751547,dimensionless,False,
H_PD1_C1,0.997412148959944,dimensionless,False,
H_PD1_APC,0.9,dimensionless,False,
H_CD28_C1,0.1,dimensionless,False,
H_CD28_APC,0.1,dimensionless,False,
k_C1_growth,0.012,1/day,True,
C_max,4188790204786.39,cell,True,
k_C1_death,1e-05,1/day,True,
k_C1_therapy,0.0,1/day,False,
initial_tumour_diameter,3.0,centimeter,True,
div_T1,1110000.0,dimensionless,True,
n_T1_clones,100.0,dimensionless,True,
q_LN_T1_in,0.07,1/day/milliliter,True,
q_T1_LN_out,1.13,1/day,True,
k_T1_act,20.0,1/day,True,
k_T1_pro,1.0,1/day,True,
k_T1_death,2.0,1/day,True,
q_T1_P_in,0.0402,1/minute,True,
q_T1_P_out,1.0,1/day,True,
q_T1_T_in,6.7e-07,1/(centimeter^3*minute),True,
Q_nT1_thym,3200000000.0,cell/day,True,
k_nT1_pro,320000000.0,cell/day,True,
K_nT1_pro,1000000000.0,cell,True,
k_nT1_death,0.002,1/day,True,
k_IL2_deg,0.2,1/minute,True,
k_IL2_cons,6e-06,nanomole/cell/hour,True,
k_IL2_sec,3e-05,nanomole/cell/hour,True,
IL2_50,0.32,nanomolarity,True,
IL2_50_Treg,0.0032,nanomolarity,True,
N0,15.0,dimensionless,True,
N_IL2,2.0,dimensionless,True,
k_T1,0.1,1/day,True,
k_C_T1,18.0,1/day,True,
k_Treg,0.1,1/day,True,
H_P1,0.0299732984469567,dimensionless,False,
N_aT,15.0000168367503,dimensionless,False,
div_T0,1160000.0,dimensionless,True,
n_T0_clones,1000.0,dimensionless,True,
q_LN_T0_in,0.07,1/day/milliliter,True,
q_T0_LN_out,1.13,1/day,True,
k_T0_act,20.0,1/day,True,
k_T0_pro,1.0,1/day,True,
k_T0_death,2.0,1/day,True,
q_T0_P_in,0.0402,1/minute,True,
q_T0_P_out,0.015,1/day,True,
q_T0_T_in,6.7e-07,1/(centimeter^3*minute),True,
Q_nT0_thym,500000000.0,cell/day,True,
k_nT0_pro,320000000.0,cell/day,True,
K_nT0_pro,1000000000.0,cell,True,
k_nT0_death,0.002,1/day,True,
H_P0,0.940047973588404,dimensionless,False,
k_APC_mat,1.5,1/day,True,
k_APC_mig,4.0,1/day,True,
k_APC_death,0.01,1/day,True,
k_mAPC_death,0.02,1/day,True,
APC0_T,400000.0,cell/milliliter,True,
APC0_LN,1200000.0,cell/milliliter,True,
k_c,2.0,1/day,True,
c0,1e-09,molarity,True,
c50,1e-09,molarity,True,
DAMPs,1.34e-14,mole/cell,True,
n_sites_APC,10.0,dimensionless,True,
kin,14.4,1/day,True,
kout,28.8,1/day,True,
k_P0_up,14.4,1/day/cell,True,
k_xP0_deg,2.0,1/day,True,
k_P0_deg,17.28,1/day,True,
k_p0_deg,144.0,1/day,True,
k_P0_on,144000.0,1/day/molarity,True,
k_P0_d1,1e-07,molarity,True,
p0_50,2.64550264550265e-05,molecule/micrometer^2,True,
P0_C1,1e-08,molarity/cell,True,
A_syn,37.8,micrometer^2,True,
A_Tcell,151.310411930437,micrometer^2,True,
A_cell,897.270277791781,micrometer^2,True,
A_APC,900.0,micrometer^2,True,
k_M1p0_TCR_on,1.0,1/(second*molecule/micrometer^2),True,
k_M1p0_TCR_off,1.0,1/second,True,
TCR_p0_tot,103.813080670361,molecule/micrometer^2,True,
pTCR_p0_MHC_tot,0.0004148149028281,molecule/micrometer^2,False,
k_P1_up,14.4,1/day/cell,True,
k_xP1_deg,2.0,1/day,True,
k_P1_deg,17.28,1/day,True,
k_p1_deg,144.0,1/day,True,
k_P1_on,144000.0,1/day/molarity,True,
k_P1_d1,4e-08,molarity,True,
p1_50,2.64550264550265e-05,molecule/micrometer^2,True,
P1_C1,1e-08,molarity/cell,True,
k_M1p1_TCR_on,1.0,1/(second*molecule/micrometer^2),True,
k_M1p1_TCR_off,1.0,1/second,True,
k_M1p1_TCR_p,1.0,1/second,True,
phi_M1p1_TCR,0.09,1/second,True,
N_M1p1_TCR,10.0,dimensionless,True,
TCR_p1_tot,103.813080670361,molecule/micrometer^2,True,
pTCR_p1_MHC_tot,8.17445954930017e-07,molecule/micrometer^2,False,
kon_PD1_PDL1,0.0583333333333333,1/(micromolarity*nanometer*second),True,
aPD1,0.0,molarity,False,
aPDL1,0.0,molarity,False,
q_P_nivolumab,1.73655e-07,1/second,True,
q_T_nivolumab,8.52e-06,1/second,True,
q_LN_nivolumab,1.73655e-07,1/second,True,
q_LD_nivolumab,0.0015,1/minute,True,
k_cl_nivolumab,7.1813e-07,1/second,True,
gamma_C_nivolumab,0.77378,dimensionless,True,
gamma_P_nivolumab,0.058847,dimensionless,True,
gamma_T_nivolumab,0.718,dimensionless,True,
gamma_LN_nivolumab,0.1,dimensionless,True,
kon_PD1_PDL2,0.0766666666666667,1/(micromolarity*nanometer*second),True,
kon_PD1_aPD1,1300000.0,1/(molarity*second),True,
kon_PDL1_aPDL1,430000.0,1/(molarity*second),True,
koff_PD1_PDL1,1.435,1/second,True,
koff_PD1_PDL2,0.529,1/second,True,
koff_PD1_aPD1,0.00338,1/second,True,
koff_PDL1_aPDL1,0.028595,1/second,True,
Chi_PD1,3.33333333333333,1/nanometer,True,
Chi_PDL1,33.3333333333333,1/nanometer,True,
PD1_50,20.0,molecule/micrometer^2,True,
n_PD1,2.0,dimensionless,True,
pd1_occ_floor,1.0000336225126868e-10,dimensionless,True,
pd1_occ_ceiling,0.050002,dimensionless,True,
pd1_occ_kon_scale,1e-08,dimensionless,True,
pd1_occ_koff_scale,1.0,dimensionless,True,
