name,reactants,products,reaction_rate,kinetic_law,kinetic_expression
Reaction_1,C_x,,k_cell_clear*V_T.C_x,,
Reaction_2,T_exh,,k_cell_clear*V_T.T_exh,,
Reaction_3,,C1,k_C1_growth*V_T.C1*(1-C_total/C_max),,
Reaction_4,C1,C_x,k_C1_death*V_T.C1,,
Reaction_5,,nT1,Q_nT1_thym/div_T1,,
Reaction_6,,nT1,k_nT1_pro/div_T1*V_P.nT1/(K_nT1_pro/div_T1+V_P.nT1),,
Reaction_7,,nT1,k_nT1_pro/div_T1*V_C.nT1/(K_nT1_pro/div_T1+V_C.nT1),,
Reaction_8,nT1,,k_nT1_death*V_P.nT1,,
Reaction_9,nT1,,k_nT1_death*V_C.nT1,,
Reaction_10,nT1,nT1,q_T1_P_in*V_C.nT1,,
Reaction_11,nT1,nT1,q_T1_P_out*V_P.nT1,,
Reaction_12,nT1,nT1,q_LN_T1_in*V_C.nT1,,
Reaction_13,nT1,nT1,q_T1_LN_out*V_LN.nT1,,
Reaction_14,nT1,,k_T1_act*H_mAPC*H_P1*V_LN.nT1,,
Reaction_15,,aT1,k_T1_act*H_mAPC*H_P1*V_LN.nT1*n_T1_clones,,
Reaction_16,aT1,,k_T1_pro*V_LN.aT1,,
Reaction_17,,T1,k_T1_pro*2^N_aT*V_LN.aT1,,
Reaction_18,T1,,k_T1_death*V_C.T1,,
Reaction_19,T1,,k_T1_death*V_P.T1,,
Reaction_20,T1,T_exh,k_T1_death*V_T.T1,,
Reaction_21,T1,,k_T1_death*V_LN.T1,,
Reaction_22,T1,T_exh,k_Treg*V_T.T1*Tregs_/(C_total+T_total+cell),,
Reaction_23,T1,T_exh,k_T1*V_T.T1*C_total/(C_total+T_total+cell)*H_PD1_C1,,
Reaction_24,T1,T1,q_T1_P_in*V_C.T1,,
Reaction_25,T1,T1,q_T1_P_out*V_P.T1,,
Reaction_26,T1,T1,q_T1_T_in*V_T*V_C.T1,,
Reaction_27,T1,T1,q_T1_LN_out*V_LN.T1,,
Reaction_28,IL2,,k_IL2_deg*V_LN.IL2*V_LN,,
Reaction_29,IL2,,k_IL2_cons*T_total_LN*IL2/(IL2_50+IL2),,
Reaction_30,,IL2,k_IL2_sec*V_LN.aT1,,
Reaction_31,C1,C_x,k_C_T1*V_T.T1*V_T.C1/(C_total+T_total+cell)*(1-H_PD1_C1),,
Reaction_32,,nT0,Q_nT0_thym/div_T0,,
Reaction_33,,nT0,k_nT0_pro/div_T0*V_P.nT0/(K_nT0_pro/div_T0+V_P.nT0),,
Reaction_34,,nT0,k_nT0_pro/div_T0*V_C.nT0/(K_nT0_pro/div_T0+V_C.nT0),,
Reaction_35,nT0,,k_nT0_death*V_P.nT0,,
Reaction_36,nT0,,k_nT0_death*V_C.nT0,,
Reaction_37,nT0,nT0,q_T0_P_in*V_C.nT0,,
Reaction_38,nT0,nT0,q_T0_P_out*V_P.nT0,,
Reaction_39,nT0,nT0,q_LN_T0_in*V_C.nT0,,
Reaction_40,nT0,nT0,q_T0_LN_out*V_LN.nT0,,
Reaction_41,nT0,,k_T0_act*H_APC*H_P0*V_LN.nT0,,
Reaction_42,,aT0,k_T0_act*H_APC*H_P0*V_LN.nT0*n_T0_clones,,
Reaction_43,aT0,,k_T0_pro*V_LN.aT0,,
Reaction_44,,T0,k_T0_pro*2^N_aT*V_LN.aT0,,
Reaction_45,T0,,k_T0_death*V_C.T0,,
Reaction_46,T0,,k_T0_death*V_P.T0,,
