species,reaction,stoichiometry
V_C.nT1,Reaction_5,1
V_C.nT1,Reaction_7,1
V_C.nT1,Reaction_9,-1
V_C.nT1,Reaction_10,-1
V_C.nT1,Reaction_11,1
V_C.nT1,Reaction_12,-1
V_C.nT1,Reaction_13,1
V_C.T1,Reaction_18,-1
V_C.T1,Reaction_24,-1
V_C.T1,Reaction_25,1
V_C.T1,Reaction_26,-1
V_C.T1,Reaction_27,1
V_C.nT0,Reaction_32,1
V_C.nT0,Reaction_34,1
V_C.nT0,Reaction_36,-1
V_C.nT0,Reaction_37,-1
V_C.nT0,Reaction_38,1
V_C.nT0,Reaction_39,-1
V_C.nT0,Reaction_40,1
V_C.T0,Reaction_45,-1
V_C.T0,Reaction_49,-1
V_C.T0,Reaction_50,1
V_C.T0,Reaction_51,-1
V_C.T0,Reaction_52,1
V_C.nivolumab,Reaction_83,-1
V_C.nivolumab,Reaction_84,-1
V_C.nivolumab,Reaction_85,-1
V_C.nivolumab,Reaction_87,1
V_C.nivolumab,Reaction_88,-1
V_P.nT1,Reaction_6,1
V_P.nT1,Reaction_8,-1
V_P.nT1,Reaction_10,1
V_P.nT1,Reaction_11,-1
V_P.T1,Reaction_19,-1
V_P.T1,Reaction_24,1
V_P.T1,Reaction_25,-1
V_P.nT0,Reaction_33,1
V_P.nT0,Reaction_35,-1
V_P.nT0,Reaction_37,1
V_P.nT0,Reaction_38,-1
V_P.T0,Reaction_46,-1
V_P.T0,Reaction_49,1
V_P.T0,Reaction_50,-1
V_P.nivolumab,Reaction_83,1
V_T.C_x,Reaction_1,-1
V_T.C_x,Reaction_4,1
V_T.C_x,Reaction_31,1
V_T.T_exh,Reaction_2,-1
V_T.T_exh,Reaction_20,1
V_T.T_exh,Reaction_22,1
V_T.T_exh,Reaction_23,1
V_T.T_exh,Reaction_47,1
V_T.C1,Reaction_3,1
V_T.C1,Reaction_4,-1
V_T.C1,Reaction_31,-1
V_T.T1,Reaction_20,-1
V_T.T1,Reaction_22,-1
V_T.T1,Reaction_23,-1
V_T.T1,Reaction_26,1
V_T.T0,Reaction_47,-1
V_T.T0,Reaction_51,1
V_T.APC,Reaction_54,1
V_T.APC,Reaction_56,-1
V_T.mAPC,Reaction_56,1
V_T.mAPC,Reaction_57,-1
V_T.mAPC,Reaction_58,-1
V_T.c,Reaction_60,1
V_T.c,Reaction_61,1
V_T.P0,Reaction_63,1
V_T.P0,Reaction_64,-1
V_T.P0,Reaction_65,-1
V_T.P1,Reaction_73,1
V_T.P1,Reaction_74,-1
V_T.P1,Reaction_75,-1
V_T.nivolumab,Reaction_84,1
V_T.nivolumab,Reaction_86,-1
V_LN.nT1,Reaction_12,1
V_LN.nT1,Reaction_13,-1
V_LN.nT1,Reaction_14,-1
V_LN.aT1,Reaction_15,1
V_LN.aT1,Reaction_16,-1
V_LN.T1,Reaction_17,1
V_LN.T1,Reaction_21,-1
V_LN.T1,Reaction_27,-1
V_LN.IL2,Reaction_28,-1
V_LN.IL2,Reaction_29,-1
V_LN.IL2,Reaction_30,1
V_LN.IL2,Reaction_53,-1
V_LN.nT0,Reaction_39,1
V_LN.nT0,Reaction_40,-1
V_LN.nT0,Reaction_41,-1
V_LN.aT0,Reaction_42,1
V_LN.aT0,Reaction_43,-1
V_LN.T0,Reaction_44,1
V_LN.T0,Reaction_48,-1
V_LN.T0,Reaction_52,-1
V_LN.APC,Reaction_55,1
V_LN.mAPC,Reaction_57,1
V_LN.mAPC,Reaction_59,-1
V_LN.nivolumab,Reaction_85,1
V_LN.nivolumab,Reaction_86,1
V_LN.nivolumab,Reaction_87,-1
V_e.P0,Reaction_66,1
V_e.P0,Reaction_67,-1
V_e.p0,Reaction_67,1
V_e.p0,Reaction_68,-1
V_e.p0,Reaction_69,-1
V_e.p0,Reaction_70,1
V_e.P1,Reaction_76,1
V_e.P1,Reaction_77,-1
V_e.p1,Reaction_77,1
V_e.p1,Reaction_78,-1
V_e.p1,Reaction_79,-1
V_e.p1,Reaction_80,1
A_e.M1,Reaction_62,-1
A_e.M1,Reaction_69,-1
A_e.M1,Reaction_70,1
A_e.M1,Reaction_79,-1
A_e.M1,Reaction_80,1
A_e.M1p0,Reaction_69,1
A_e.M1p0,Reaction_70,-1
A_e.M1p0,Reaction_72,-1
A_e.M1p1,Reaction_79,1
A_e.M1p1,Reaction_80,-1
A_e.M1p1,Reaction_82,-1
A_s.M1,Reaction_62,1
A_s.M1,Reaction_71,1
A_s.M1,Reaction_81,1
A_s.M1p0,Reaction_71,-1
A_s.M1p0,Reaction_72,1
A_s.M1p1,Reaction_81,-1
A_s.M1p1,Reaction_82,1
syn_T1_C1.PD1_PDL1,Reaction_89,1
syn_T1_C1.PD1_PDL2,Reaction_90,1
syn_T1_C1.PD1,Reaction_89,-1
syn_T1_C1.PD1,Reaction_90,-1
syn_T1_C1.PD1,Reaction_91,-1
syn_T1_C1.PD1,Reaction_92,-1
syn_T1_C1.PDL1,Reaction_89,-1
syn_T1_C1.PDL1,Reaction_93,-1
syn_T1_C1.PDL1,Reaction_94,-1
syn_T1_C1.PDL2,Reaction_90,-1
syn_T1_C1.PD1_aPD1,Reaction_91,1
syn_T1_C1.PD1_aPD1,Reaction_92,-1
syn_T1_C1.PD1_aPD1_PD1,Reaction_92,1
syn_T1_C1.PDL1_aPDL1,Reaction_93,1
syn_T1_C1.PDL1_aPDL1,Reaction_94,-1
syn_T1_C1.PDL1_aPDL1_PDL1,Reaction_94,1
