name,value,units,constant_value,initial_value
k_cell_clear,0.1,1/day,true,
cell,1,cell,true,
day,1,day,true,
vol_cell,2527.31128244685,micrometer^3/cell,true,
vol_Tcell,176,micrometer^3/cell,true,
V_Tmin,0.001,microliter,true,
C_total,4659088432.17575,cell,false,
T_total,9321020214.48224,cell,false,
T_total_LN,17841400601.6581,cell,false,
R_Tcell,9365168.03664244,cell/day,false,
Tregs_,0,cell,false,
H_APC,0.5,dimensionless,false,
H_mAPC,1,dimensionless,false,
H_PD1_C1,0.939086941197312,dimensionless,false,
H_PD1_APC,0.9,dimensionless,false,
H_CD28_C1,0.1,dimensionless,false,
H_CD28_APC,0.1,dimensionless,false,
k_C1_growth,0.012,1/day,true,
C_max,4188790204786.39,cell,true,
k_C1_death,1e-05,1/day,true,
k_C1_therapy,0,1/day,false,
initial_tumour_diameter,3,centimeter,true,
k_C2_growth,0.006,1/day,true,
k_C2_death,1e-05,1/day,true,
k_C2_therapy,0,1/day,false,
div_T1,1110000,dimensionless,true,
n_T1_clones,100,dimensionless,true,
q_LN_T1_in,0.07,1/day/milliliter,true,
q_T1_LN_out,1.13,1/day,true,
k_T1_act,10,1/day,true,
k_T1_pro,1,1/day,true,
k_T1_death,0.01,1/day,true,
q_T1_P_in,0.201,1/minute,true,
q_T1_P_out,1,1/day,true,
q_T1_T_in,3.35e-06,1/(centimeter^3*minute),true,
Q_nT1_thym,3200000000,cell/day,true,
k_nT1_pro,320000000,cell/day,true,
K_nT1_pro,1000000000,cell,true,
k_nT1_death,0.002,1/day,true,
k_IL2_deg,0.2,1/minute,true,
k_IL2_cons,6e-06,nanomole/cell/hour,true,
k_IL2_sec,3e-05,nanomole/cell/hour,true,
IL2_50,0.32,nanomolarity,true,
IL2_50_Treg,0.0032,nanomolarity,true,
N0,15,dimensionless,true,
N_IL2,2,dimensionless,true,
k_T1,0.1,1/day,true,
k_C_T1,0.09,1/day,true,
k_Treg,2,1/day,true,
H_P1,1,dimensionless,false,
N_aT,15.000347816509,dimensionless,false,
div_T2,1110000,dimensionless,true,
n_T2_clones,100,dimensionless,true,
q_LN_T2_in,0.07,1/day/milliliter,true,
q_T2_LN_out,1.13,1/day,true,
k_T2_act,10,1/day,true,
k_T2_pro,1,1/day,true,
k_T2_death,0.01,1/day,true,
q_T2_P_in,0.201,1/minute,true,
q_T2_P_out,1,1/day,true,
q_T2_T_in,3.35e-06,1/(centimeter^3*minute),true,
Q_nT2_thym,3200000000,cell/day,true,
k_nT2_pro,320000000,cell/day,true,
K_nT2_pro,1000000000,cell,true,
k_nT2_death,0.002,1/day,true,
k_T2,0.1,1/day,true,
k_C_T2,0.009,1/day,true,
H_P2,1,dimensionless,false,
A_syn,37.8,micrometer^2,true,
A_Tcell,151.310411930437,micrometer^2,true,
A_cell,897.270277791781,micrometer^2,true,
A_APC,900,micrometer^2,true,
kon_PD1_PDL1,0.0583333333333333,1/(micromolarity*nanometer*second),true,
aPD1,0,molarity,false,
aPDL1,0,molarity,false,
q_P_nivolumab,1.73655e-07,1/second,true,
q_T_nivolumab,8.52e-06,1/second,true,
q_LN_nivolumab,1.73655e-07,1/second,true,
q_LD_nivolumab,0.0015,1/minute,true,
k_cl_nivolumab,7.1813e-07,1/second,true,
gamma_C_nivolumab,0.77378,dimensionless,true,
gamma_P_nivolumab,0.058847,dimensionless,true,
gamma_T_nivolumab,0.718,dimensionless,true,
gamma_LN_nivolumab,0.1,dimensionless,true,
kon_PD1_PDL2,0.0766666666666667,1/(micromolarity*nanometer*second),true,
kon_PD1_aPD1,1300000,1/(molarity*second),true,
kon_PDL1_aPDL1,430000,1/(molarity*second),true,
koff_PD1_PDL1,1.435,1/second,true,
koff_PD1_PDL2,0.529,1/second,true,
koff_PD1_aPD1,0.00338,1/second,true,
koff_PDL1_aPDL1,0.028595,1/second,true,
Chi_PD1,3.33333333333333,1/nanometer,true,
Chi_PDL1,33.3333333333333,1/nanometer,true,
PD1_50,100,molecule/micrometer^2,true,
n_PD1,2,dimensionless,true,
T_PD1_total,60000,molecule,false,
C_PDL1_total,1600000,molecule,false,
C_PDL2_total,40000,molecule,false,
APC_PDL1_total,1600000,molecule,false,
APC_PDL2_total,40000,molecule,false,
