identifier,name,compartment,initial_amount,initial_units,constant_amount,current_value,boundary_condition,nonnegative,units,interpreted_dimension
V_C.nT1,nT1,V_C,9.86679902546248,cell,false,9.86679902546248,false,false,cell,amount
V_C.T1,T1,V_C,3463576344.74062,cell,false,3463576344.74062,false,false,cell,amount
V_C.nT2,nT2,V_C,9.86679902546248,cell,false,9.86679902546248,false,false,cell,amount
V_C.T2,T2,V_C,3463576344.74062,cell,false,3463576344.74062,false,false,cell,amount
V_C.nivolumab,nivolumab,V_C,0,molarity,false,0,false,false,molarity,amount
V_P.nT1,nT1,V_P,3072.62697951566,cell,false,3072.62697951566,false,false,cell,amount
V_P.T1,T1,V_P,992687575250.996,cell,false,992687575250.996,false,false,cell,amount
V_P.nT2,nT2,V_P,3072.62697951566,cell,false,3072.62697951566,false,false,cell,amount
V_P.T2,T2,V_P,992687575250.997,cell,false,992687575250.997,false,false,cell,amount
V_P.nivolumab,nivolumab,V_P,0,molarity,false,0,false,false,molarity,amount
V_T.C_x,C_x,V_T,84964599.9042392,cell,false,84964599.9042392,false,false,cell,amount
V_T.T_exh,T_exh,V_T,3475879849.3248,cell,false,3475879849.3248,false,false,cell,amount
V_T.C1,C1,V_T,4621990102.07559,cell,false,4621990102.07559,false,false,cell,amount
V_T.C2,C2,V_T,632934.639992394,cell,false,632934.639992394,false,false,cell,amount
V_T.T1,T1,V_T,4624635626.48751,cell,false,4624635626.48751,false,false,cell,amount
V_T.T2,T2,V_T,4624635626.55987,cell,false,4624635626.55987,false,false,cell,amount
V_T.nivolumab,nivolumab,V_T,0,molarity,false,0,false,false,molarity,amount
V_LN.nT1,nT1,V_LN,310.276698913914,cell,false,310.276698913914,false,false,cell,amount
V_LN.aT1,aT1,V_LN,310276.698913914,cell,false,310276.698913914,false,false,cell,amount
V_LN.T1,T1,V_LN,8920700300.82904,cell,false,8920700300.82904,false,false,cell,amount
V_LN.IL2,IL2,V_LN,5.56603212233036e-14,molarity,false,5.56603212233036e-14,false,false,molarity,amount
V_LN.nT2,nT2,V_LN,310.276698913914,cell,false,310.276698913914,false,false,cell,amount
V_LN.aT2,aT2,V_LN,310276.698913914,cell,false,310276.698913914,false,false,cell,amount
V_LN.T2,T2,V_LN,8920700300.82904,cell,false,8920700300.82904,false,false,cell,amount
V_LN.nivolumab,nivolumab,V_LN,0,molarity,false,0,false,false,molarity,amount
syn_T1_C1.PD1_PDL1,PD1_PDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_PDL2,PD1_PDL2,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1,PD1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL1,PDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL2,PDL2,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_aPD1,PD1_aPD1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PD1_aPD1_PD1,PD1_aPD1_PD1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL1_aPDL1,PDL1_aPDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
syn_T1_C1.PDL1_aPDL1_PDL1,PDL1_aPDL1_PDL1,syn_T1_C1,0,molecule/micrometer^2,false,0,false,false,molecule/micrometer^2,concentration
