name,raw_value,raw_unit,canonical_value,note
V_C,5.0,liter,5.0,
V_P,60.0,liter,60.0,
V_Tmin,0.001,microliter,1e-09,
V_LN,,liter,,derived_only
gamma_P,0.0067,dimensionless,0.0067,
gamma_T,0.0067,dimensionless,0.0067,
vol_cell,,micrometer^3/cell,,derived_only
vol_Tcell,176.0,micrometer^3/cell,1.76e-13,
k_cell_clear,0.03,1/day,0.03,
k_C_growth,0.012,1/day,0.012,
C_max,,cell,,derived_only
k_C_death,1e-05,1/day,1e-05,
initial_tumour_diameter,3.0,centimeter,3.0,
div,1110000.0,dimensionless,1110000.0,
div_Treg,1160000.0,dimensionless,1160000.0,
n_clones,100.0,dimensionless,100.0,
n_clones_Treg,1000.0,dimensionless,1000.0,
Q_nT_thym,3200000000.0,cell/day,3200000000.0,
Q_nT_thym_Treg,,cell,,derived_only
q_LN_in,0.07,1/day/milliliter,70.0,
q_LN_out,1.13,1/day,1.13,
nT_C,,cell,,derived_only
nT_P,,cell,,derived_only
nT_LN,,cell,,derived_only
k_act,20.0,1/day,20.0,
k_act_Treg,20.0,1/day,20.0,
k_nT_pro,320000000.0,cell/day,320000000.0,
k_nT_pro_Treg,320000000.0,cell/day,320000000.0,
K_nT_pro,1000000000.0,cell,1000000000.0,
k_pro,1.0,1/day,1.0,
k_pro_Treg,1.0,1/day,1.0,
k_nT_death,0.002,1/day,0.002,
k_death,2.0,1/day,2.0,
k_death_Treg,2.0,1/day,2.0,
q_P_in,,1/day,,derived_only
q_P_in_Treg,,1/day,,derived_only
q_P_out,1.0,1/day,1.0,
q_P_out_Treg,0.015,1/day,0.015,
q_T_in,,1/day/centimeter^3,,derived_only
q_T_in_Treg,,1/day/centimeter^3,,derived_only
nTreg_C,250000000.0,cell,250000000.0,
nTreg_P,,cell,,derived_only
nTreg_LN,,cell,,derived_only
k_C_Tcell,18.0,1/day,18.0,
k_Tcell,0.1,1/day,0.1,
k_Treg,0.1,1/day,0.1,
k_IL2_deg,0.2,1/minute,288.0,
k_IL2_cons,6e-06,nanomole/cell/hour,1.4400000000000002e-13,
k_IL2_sec,3e-05,nanomole/cell/hour,7.200000000000001e-13,
IL2_50,0.32,nanomolarity,3.2000000000000003e-10,
IL2_50_Treg,0.0032,nanomolarity,3.2000000000000005e-12,
N0,15.0,dimensionless,15.0,
N_IL2,2.0,dimensionless,2.0,
k_APC_mat,1.5,1/day,1.5,
k_APC_mig,4.0,1/day,4.0,
k_APC_death,0.01,1/day,0.01,
k_mAPC_death,0.02,1/day,0.02,
APC0_T,400000.0,cell/milliliter,400000000.0,
APC0_LN,1200000.0,cell/milliliter,1200000000.0,
k_c,2.0,1/day,2.0,
c0,1e-09,molarity,1e-09,
c50,1e-09,molarity,1e-09,
DAMPs,1.34e-14,mole/cell,1.34e-14,
n_sites_APC,10.0,dimensionless,10.0,
N_MHC,1.0,dimensionless,1.0,
MHC_T,,molecule/micrometer^2,,derived_only
kin,14.4,1/day,14.4,
kout,28.8,1/day,28.8,
V_e,,micrometer^3,,derived_only
A_e,,micrometer^2,,derived_only
A_s,900.0,micrometer^2,900.0,
k_up,14.4,1/day/cell,14.4,
k_xP_deg,2.0,1/day,2.0,
k_P_deg,17.28,1/day,17.28,
k_p_deg,144.0,1/day,144.0,
k_on,144000.0,1/day/molarity,144000.0,
A_syn,37.8,micrometer^2,37.8,
A_cell,,micrometer^2,,derived_only
A_Tcell,,micrometer^2,,derived_only
k_TCR_p,1.0,1/second,86400.0,
k_TCR_on,1.0,1/(second*molecule/micrometer^2),86400.0,
k_TCR_off,1.0,1/second,86400.0,
phi_TCR,0.09,1/second,7776.0,
N_TCR,10.0,dimensionless,10.0,
TCR_tot,,molecule/micrometer^2,,derived_only
p_50,,molecule/micrometer^2,,derived_only
T_PD1_total,60000.0,molecule,60000.0,
T_PDL1_total,1600000.0,molecule,1600000.0,
C_PDL1_total,1600000.0,molecule,1600000.0,
C_PDL2_total,40000.0,molecule,40000.0,
APC_PDL1_total,1600000.0,molecule,1600000.0,
APC_PDL2_total,40000.0,molecule,40000.0,
kon_PD1_PDL1,,1/(micromolarity*nanometer*second),,derived_only
koff_PD1_PDL1,,1/second,,derived_only
kon_PD1_PDL2,,1/(micromolarity*nanometer*second),,derived_only
koff_PD1_PDL2,,1/second,,derived_only
kon_PD1_aPD1,1300000.0,1/(molarity*second),112320000000.0,
koff_PD1_aPD1,,1/second,,derived_only
kon_PDL1_aPDL1,430000.0,1/(molarity*second),37152000000.0,
koff_PDL1_aPDL1,,1/second,,derived_only
Chi_PD1,,1/nanometer,,derived_only
Chi_PDL1,,1/nanometer,,derived_only
PD1_50,20.0,molecule/micrometer^2,20.0,
n_PD1,2.0,dimensionless,2.0,
cell,1.0,cell,1.0,
nLNs,21.0,dimensionless,21.0,
D_LN,5.0,millimeter,5.0,
D_cell,16.9,micrometer,16.9,
D_T_max,20.0,centimeter,20.0,
rho_cell,1000000000.0,cell/milliliter,1000000000000.0,
D_Tcell,6.94,micrometer,6.94,
k_mig,1e-12,1/minute/cell,1.44e-09,
k_mig_Treg,1e-12,1/minute/cell,1.44e-09,
rho_adh,100000000.0,cell/centimeter^3,100000000.0,
rho_nT,505000.0,cell/milliliter,505000000.0,
rho_nTreg,860000.0,cell/milliliter,860000000.0,
n_MHC_T,2000000.0,molecule,2000000.0,
N_endo,10.0,dimensionless,10.0,
