name,type,unit,raw_value,canonical_value,expression,dependencies,note
APC0_LN,base,cell/milliliter,1200000.0,1200000000.0,,,
APC0_T,base,cell/milliliter,400000.0,400000000.0,,,
APC_PDL1_total,base,molecule,1600000.0,1600000.0,,,
APC_PDL2_total,base,molecule,40000.0,40000.0,,,
A_APC,base,micrometer^2,900.0,900.0,,,
A_Tcell,base,micrometer^2,151.310411930437,151.310411930437,,,
A_cell,base,micrometer^2,897.270277791781,897.270277791781,,,
A_syn,base,micrometer^2,37.8,37.8,,,
C_PDL1_total,base,molecule,1600000.0,1600000.0,,,
C_PDL2_total,base,molecule,40000.0,40000.0,,,
C_max,base,cell,4188790204786.39,4188790204786.39,,,
C_total,base,cell,5694494668.19038,5694494668.19038,,,
Chi_PD1,base,1/nanometer,3.33333333333333,3.33333333333333,,,
Chi_PDL1,base,1/nanometer,33.3333333333333,33.3333333333333,,,
DAMPs,base,mole/cell,1.34e-14,1.34e-14,,,
H_APC,base,dimensionless,0.0027083406020128,0.0027083406020128,,,
H_CD28_APC,base,dimensionless,0.1,0.1,,,
H_CD28_C1,base,dimensionless,0.1,0.1,,,
H_P0,base,dimensionless,0.940047973588404,0.940047973588404,,,
H_P1,base,dimensionless,0.0299732984469567,0.0299732984469567,,,
H_PD1_APC,base,dimensionless,0.9,0.9,,,
H_PD1_C1,base,dimensionless,0.997412148959944,0.997412148959944,,,
H_mAPC,base,dimensionless,0.0028923891751547,0.0028923891751547,,,
IL2_50,base,nanomolarity,0.32,3.2000000000000003e-10,,,
IL2_50_Treg,base,nanomolarity,0.0032,3.2000000000000005e-12,,,
K_nT0_pro,base,cell,1000000000.0,1000000000.0,,,
K_nT1_pro,base,cell,1000000000.0,1000000000.0,,,
N0,base,dimensionless,15.0,15.0,,,
N_IL2,base,dimensionless,2.0,2.0,,,
N_M1p1_TCR,base,dimensionless,10.0,10.0,,,
N_aT,base,dimensionless,15.0000168367503,15.0000168367503,,,
P0_C1,base,molarity/cell,1e-08,1e-08,,,
P1_C1,base,molarity/cell,1e-08,1e-08,,,
PD1_50,base,molecule/micrometer^2,20.0,20000000000000.0,,,
Q_nT0_thym,base,cell/day,500000000.0,500000000.0,,,
Q_nT1_thym,base,cell/day,3200000000.0,3200000000.0,,,
R_Tcell,base,cell/day,51602.0436235056,51602.0436235056,,,
TCR_p0_tot,base,molecule/micrometer^2,103.813080670361,103813080670361.0,,,
TCR_p1_tot,base,molecule/micrometer^2,103.813080670361,103813080670361.0,,,
T_PD1_total,base,molecule,60000.0,60000.0,,,
T_total,base,cell,1554455.48869576,1554455.48869576,,,
T_total_LN,base,cell,6073346777.76107,6073346777.76107,,,
Tregs_,base,cell,446369.004135466,446369.004135466,,,
V_Tmin,base,microliter,0.001,1e-09,,,
aPD1,base,molarity,0.0,0.0,,,
aPDL1,base,molarity,0.0,0.0,,,
c0,base,molarity,1e-09,1e-09,,,
c50,base,molarity,1e-09,1e-09,,,
cell,base,cell,1.0,1.0,,,
day,base,day,1.0,1.0,,,
div_T0,base,dimensionless,1160000.0,1160000.0,,,
div_T1,base,dimensionless,1110000.0,1110000.0,,,
gamma_C_nivolumab,base,dimensionless,0.77378,0.77378,,,
gamma_LN_nivolumab,base,dimensionless,0.1,0.1,,,
gamma_P_nivolumab,base,dimensionless,0.058847,0.058847,,,
gamma_T_nivolumab,base,dimensionless,0.718,0.718,,,
initial_tumour_diameter,base,centimeter,3.0,3.0,,,
k_APC_death,base,1/day,0.01,0.01,,,
k_APC_mat,base,1/day,1.5,1.5,,,
k_APC_mig,base,1/day,4.0,4.0,,,
k_C1_death,base,1/day,1e-05,1e-05,,,
k_C1_growth,base,1/day,0.012,0.012,,,
k_C1_therapy,base,1/day,0.0,0.0,,,
k_C_T1,base,1/day,18.0,18.0,,,
k_IL2_cons,base,nanomole/cell/hour,6e-06,1.4400000000000002e-13,,,
k_IL2_deg,base,1/minute,0.2,288.0,,,
k_IL2_sec,base,nanomole/cell/hour,3e-05,7.200000000000001e-13,,,
k_M1p0_TCR_off,base,1/second,1.0,86400.0,,,
k_M1p0_TCR_on,base,1/(second*molecule/micrometer^2),1.0,86400.0,,,
k_M1p1_TCR_off,base,1/second,1.0,86400.0,,,
k_M1p1_TCR_on,base,1/(second*molecule/micrometer^2),1.0,86400.0,,,
k_M1p1_TCR_p,base,1/second,1.0,86400.0,,,
k_P0_d1,base,molarity,1e-07,1e-07,,,
k_P0_deg,base,1/day,17.28,17.28,,,
k_P0_on,base,1/day/molarity,144000.0,144000.0,,,
k_P0_up,base,1/day/cell,14.4,14.4,,,
k_P1_d1,base,molarity,4e-08,4e-08,,,
k_P1_deg,base,1/day,17.28,17.28,,,
k_P1_on,base,1/day/molarity,144000.0,144000.0,,,
k_P1_up,base,1/day/cell,14.4,14.4,,,
k_T0_act,base,1/day,20.0,20.0,,,
k_T0_death,base,1/day,2.0,2.0,,,
k_T0_pro,base,1/day,1.0,1.0,,,
k_T1,base,1/day,0.1,0.1,,,
k_T1_act,base,1/day,20.0,20.0,,,
k_T1_death,base,1/day,2.0,2.0,,,
k_T1_pro,base,1/day,1.0,1.0,,,
k_Treg,base,1/day,0.1,0.1,,,
k_c,base,1/day,2.0,2.0,,,
k_cell_clear,base,1/day,0.03,0.03,,,
k_cl_nivolumab,base,1/second,7.1813e-07,0.062046432000000006,,,
k_mAPC_death,base,1/day,0.02,0.02,,,
k_nT0_death,base,1/day,0.002,0.002,,,
k_nT0_pro,base,cell/day,320000000.0,320000000.0,,,
k_nT1_death,base,1/day,0.002,0.002,,,
k_nT1_pro,base,cell/day,320000000.0,320000000.0,,,
k_p0_deg,base,1/day,144.0,144.0,,,
k_p1_deg,base,1/day,144.0,144.0,,,
k_xP0_deg,base,1/day,2.0,2.0,,,
k_xP1_deg,base,1/day,2.0,2.0,,,
kin,base,1/day,14.4,14.4,,,
koff_PD1_PDL1,base,1/second,1.435,123984.0,,,
koff_PD1_PDL2,base,1/second,0.529,45705.600000000006,,,
koff_PD1_aPD1,base,1/second,0.00338,292.03200000000004,,,
koff_PDL1_aPDL1,base,1/second,0.028595,2470.6079999999997,,,
kon_PD1_PDL1,base,1/(micromolarity*nanometer*second),0.0583333333333333,0.5740751953124996,,,
kon_PD1_PDL2,base,1/(micromolarity*nanometer*second),0.0766666666666667,0.7544988281250004,,,
kon_PD1_aPD1,base,1/(molarity*second),1300000.0,112320000000.0,,,
